subset,filename,prediction
CasualConversationsA,1140_00.MP4,0.99724567
CasualConversationsA,1140_02.MP4,0.4229079
CasualConversationsA,1141_00.MP4,0.0019684192
CasualConversationsA,1141_02.MP4,0.9917539
CasualConversationsA,1142_02.MP4,0.9376737
CasualConversationsA,1142_03.MP4,0.9594275
CasualConversationsA,1143_02.MP4,0.9616216
CasualConversationsA,1143_11.MP4,0.12729071
CasualConversationsA,1144_08.MP4,0.12919244
CasualConversationsA,1145_02.MP4,0.8493734
CasualConversationsA,1145_11.MP4,0.013665765
CasualConversationsA,1146_02.MP4,0.9726492
CasualConversationsA,1146_09.MP4,0.018551022
CasualConversationsA,1147_02.MP4,0.9904586
CasualConversationsA,1147_11.MP4,0.65810525
CasualConversationsA,1148_01.MP4,0.09292963
CasualConversationsA,1148_02.MP4,0.9683749
CasualConversationsA,1149_02.MP4,0.93599254
CasualConversationsA,1149_13.MP4,0.015349126
CasualConversationsA,1150_14.MP4,0.06221183
CasualConversationsA,1151_01.MP4,0.9897734
CasualConversationsA,1151_14.MP4,0.08593822
CasualConversationsA,1152_02.MP4,0.99217296
CasualConversationsA,1152_08.MP4,0.0067767166
CasualConversationsA,1153_11.MP4,0.008514659
CasualConversationsA,1154_02.MP4,0.9377305
CasualConversationsA,1154_13.MP4,0.74599075
CasualConversationsA,1155_02.MP4,0.99158025
CasualConversationsA,1155_03.MP4,0.46340764
CasualConversationsA,1156_00.MP4,0.0062735686
CasualConversationsA,1156_02.MP4,0.6092842
CasualConversationsA,1157_03.MP4,0.17431138
CasualConversationsA,1157_07.MP4,0.9787868
CasualConversationsA,1158_02.MP4,0.9787905
CasualConversationsA,1158_11.MP4,0.03071901
CasualConversationsA,1159_02.MP4,0.892606
CasualConversationsA,1159_11.MP4,0.0005407831
CasualConversationsA,1160_00.MP4,0.010490214
CasualConversationsA,1160_02.MP4,0.99632925
CasualConversationsA,1161_02.MP4,0.99201816
CasualConversationsA,1161_09.MP4,0.00038717507
CasualConversationsA,1162_02.MP4,0.98222476
CasualConversationsA,1162_08.MP4,0.52360624
CasualConversationsA,1163_02.MP4,0.96297324
CasualConversationsA,1163_14.MP4,0.0059431084
CasualConversationsA,1164_02.MP4,0.9791486
CasualConversationsA,1164_14.MP4,0.0020901097
CasualConversationsA,1165_08.MP4,0.00077460654
CasualConversationsA,1166_02.MP4,0.88915205
CasualConversationsA,1166_11.MP4,0.05106325
CasualConversationsA,1167_01.MP4,0.065174274
CasualConversationsA,1167_02.MP4,0.8482095
CasualConversationsA,1168_08.MP4,0.019709451
CasualConversationsA,1169_02.MP4,0.9542582
CasualConversationsA,1169_08.MP4,0.15422627
CasualConversationsA,1170_02.MP4,0.6248009
CasualConversationsA,1171_02.MP4,0.9864608
CasualConversationsA,1171_14.MP4,0.26287767
CasualConversationsA,1172_02.MP4,0.98673344
CasualConversationsA,1172_03.MP4,0.13647147
CasualConversationsA,1173_02.MP4,0.28595123
CasualConversationsA,1174_02.MP4,0.9959408
CasualConversationsA,1174_11.MP4,0.00012939902
CasualConversationsA,1175_02.MP4,0.98581374
CasualConversationsA,1175_08.MP4,0.10540442
CasualConversationsA,1176_02.MP4,0.7522362
CasualConversationsA,1176_14.MP4,0.0030406173
CasualConversationsA,1177_07.MP4,0.70624185
CasualConversationsA,1177_10.MP4,0.020833991
CasualConversationsA,1178_02.MP4,0.9045797
CasualConversationsA,1178_08.MP4,0.09170623
CasualConversationsA,1179_01.MP4,0.052634068
CasualConversationsA,1179_02.MP4,0.9971688
CasualConversationsA,1180_02.MP4,0.89046574
CasualConversationsA,1180_11.MP4,0.19262114
CasualConversationsA,1181_06.MP4,0.9887304
CasualConversationsA,1181_08.MP4,0.18413983
CasualConversationsA,1182_02.MP4,0.57298064
CasualConversationsA,1182_10.MP4,0.028040908
CasualConversationsA,1183_02.MP4,0.9805305
CasualConversationsA,1183_13.MP4,0.1449736
CasualConversationsA,1184_01.MP4,0.0051745763
CasualConversationsA,1184_02.MP4,0.96432406
CasualConversationsA,1185_01.MP4,0.0024158452
CasualConversationsA,1185_02.MP4,0.9860777
CasualConversationsA,1186_02.MP4,0.9965557
CasualConversationsA,1186_04.MP4,0.5816399
CasualConversationsA,1187_02.MP4,0.8695858
CasualConversationsA,1187_03.MP4,0.11105602
CasualConversationsA,1188_02.MP4,0.88445735
CasualConversationsA,1188_11.MP4,0.20503193
CasualConversationsA,1189_02.MP4,0.9975683
CasualConversationsA,1189_08.MP4,0.13597314
CasualConversationsA,1190_02.MP4,0.94411886
CasualConversationsA,1190_08.MP4,0.30335817
CasualConversationsA,1191_02.MP4,0.9999214
CasualConversationsA,1191_14.MP4,0.97661704
CasualConversationsA,1193_00.MP4,0.030861352
CasualConversationsA,1193_02.MP4,0.9312154
CasualConversationsA,1194_07.MP4,0.000106029154
CasualConversationsA,1194_14.MP4,0.5456853
CasualConversationsA,1195_02.MP4,0.88657457
CasualConversationsA,1196_02.MP4,0.9524304
CasualConversationsA,1196_14.MP4,0.07000095
CasualConversationsA,1197_02.MP4,0.9909699
CasualConversationsA,1197_03.MP4,0.09591861
CasualConversationsA,1198_02.MP4,0.99331236
CasualConversationsA,1198_11.MP4,0.22218192
CasualConversationsA,1199_02.MP4,0.83206064
CasualConversationsA,1199_13.MP4,0.540052
CasualConversationsA,1200_02.MP4,0.72455764
CasualConversationsA,1200_04.MP4,0.011809489
CasualConversationsA,1201_02.MP4,0.9990869
CasualConversationsA,1201_14.MP4,0.92212
CasualConversationsA,1202_00.MP4,0.7779918
CasualConversationsA,1202_02.MP4,0.99934375
CasualConversationsA,1203_00.MP4,0.9490564
CasualConversationsA,1203_11.MP4,0.37751266
CasualConversationsA,1204_02.MP4,0.9605607
CasualConversationsA,1204_13.MP4,0.64792764
CasualConversationsA,1205_00.MP4,0.06473561
CasualConversationsA,1205_02.MP4,0.92220604
CasualConversationsA,1206_00.MP4,0.76032263
CasualConversationsA,1206_02.MP4,0.9968441
CasualConversationsA,1207_02.MP4,0.9995345
CasualConversationsA,1207_11.MP4,0.003064216
CasualConversationsA,1208_00.MP4,0.0020725098
CasualConversationsA,1208_02.MP4,0.99085134
CasualConversationsA,1209_00.MP4,0.00012649636
CasualConversationsA,1209_02.MP4,0.6979067
CasualConversationsA,1210_02.MP4,0.9974904
CasualConversationsA,1210_04.MP4,0.850495
CasualConversationsA,1211_00.MP4,0.0021705977
CasualConversationsA,1211_02.MP4,0.97737074
CasualConversationsA,1212_02.MP4,0.99163264
CasualConversationsA,1212_03.MP4,0.16202015
CasualConversationsA,1213_01.MP4,0.98001724
CasualConversationsA,1213_02.MP4,0.99650645
CasualConversationsA,1214_07.MP4,0.8459126
CasualConversationsA,1214_10.MP4,0.0030029844
CasualConversationsA,1215_02.MP4,0.99414015
CasualConversationsA,1215_08.MP4,0.55758166
CasualConversationsA,1216_01.MP4,0.2869074
CasualConversationsA,1216_02.MP4,0.91782844
CasualConversationsA,1217_02.MP4,0.99655753
CasualConversationsA,1217_10.MP4,0.5371499
CasualConversationsA,1218_00.MP4,0.37396407
CasualConversationsA,1218_02.MP4,0.86611253
CasualConversationsA,1219_02.MP4,0.9764735
CasualConversationsA,1219_04.MP4,0.6905977
CasualConversationsA,1220_02.MP4,0.99817693
CasualConversationsA,1220_08.MP4,0.97900856
CasualConversationsA,1221_07.MP4,0.7486228
CasualConversationsA,1221_10.MP4,0.4067271
CasualConversationsA,1222_02.MP4,0.9495264
CasualConversationsA,1222_11.MP4,0.0499991
